Id;ClasseImovel;ClasseZona;Fachada;TamanhoLote;Rua;FormaProp;PlanoProp;Servicos;ConfigLote;InclinacaoLote;Bairro;Estrada1;Estrada2;TipoHabitacao;EstiloHabitacao;Qualidade;Condicao;AnoConstrucao;AnoReforma;TipoTelhado;MaterialTelhado;Exterior1;Exterior2;TipoAlvenaria;AreaAlvenaria;QualidadeCobertura;CondicaoExterna;TipoFundacao;AlturaPorao;CondicaoPorao;ParedePorao;TipoAcabPorao1;AreaAcabPorao1;TipoAcabPorao2;AreaAcabPorao2;AreaInacabPorao;AreaPorao;Aquecimento;QualidadeAquecimento;ArCentral;InstalacaoEletrica;AreaTerreo;Area2Andar;BaixaQualiAreaAcab;AreaConstruida;BanheiroPorao;LavaboPorao;Banheiro;Lavabo;BedroomAbvGr;KitchenAbvGr;QualidadeCozinha;TotalQuartos;Funcionalidade;Lareira;LocalGaragem;AnoGaragem;AcabamentoGaragem;CarrosGaragem;AreaGaragem;QualidadeGaragem;CondicaoGaragem;EntradaPavimentada;AreaDeck;AreaVarandaAberta;AreaVarandaFechada;AreaVaranda3Estacoes;AreaAlpendre;AreaPiscina;ValorOutros;MesVenda;AnoVenda;TipoVenda;CondicaoVenda;PrecoVenda;AreaExt;Precom2;Quartosm2
11;20;RL;70,0;11200;Pave;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;5;1965;1965;Hip;CompShg;HdBoard;HdBoard;None;0,0;TA;TA;CBlock;TA;TA;No;Rec;906;Unf;0;134;1040;GasA;Ex;Y;SBrkr;1040;0;0;1040;1;0;1;0;3;1;TA;5;Typ;0;Detchd;1965,0;Unf;1;384;TA;TA;Y;0;0;0;0;0;0;0;2;2008;WD;Normal;129500;0;124,51923076923077;0,004807692307692308
12;60;RL;85,0;11924;Pave;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;2Story;9;5;2005;2006;Hip;CompShg;WdShing;Wd Shng;Stone;286,0;Ex;TA;PConc;Ex;TA;No;GLQ;998;Unf;0;177;1175;GasA;Ex;Y;SBrkr;1182;1142;0;2324;1;0;3;0;4;1;Ex;11;Typ;2;BuiltIn;2005,0;Fin;3;736;TA;TA;Y;147;21;0;0;0;0;0;7;2006;New;Partial;345000;168;316,4509466437177;168,00473321858863
13;20;RL;;12968;Pave;IR2;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;6;1962;1962;Hip;CompShg;HdBoard;Plywood;None;0,0;TA;TA;CBlock;TA;TA;No;ALQ;737;Unf;0;175;912;GasA;TA;Y;SBrkr;912;0;0;912;1;0;1;0;2;1;TA;4;Typ;0;Detchd;1962,0;Unf;1;352;TA;TA;Y;140;0;0;0;176;0;0;9;2008;WD;Normal;144000;140;297,89473684210526;140,00438596491227
14;20;RL;91,0;10652;Pave;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;7;5;2006;2007;Gable;CompShg;VinylSd;VinylSd;Stone;306,0;Gd;TA;PConc;Gd;TA;Av;Unf;0;Unf;0;1494;1494;GasA;Ex;Y;SBrkr;1494;0;0;1494;0;0;2;0;3;1;Gd;7;Typ;1;Attchd;2006,0;RFn;3;840;TA;TA;Y;160;33;0;0;0;0;0;8;2007;New;Partial;279500;193;380,08165997322624;193,00468540829988
15;20;RL;;10920;Pave;IR1;Lvl;AllPub;Corner;Gtl;NAmes;Norm;Norm;1Fam;1Story;6;5;1960;1960;Hip;CompShg;MetalSd;MetalSd;BrkFace;212,0;TA;TA;CBlock;TA;TA;No;BLQ;733;Unf;0;520;1253;GasA;TA;Y;SBrkr;1253;0;0;1253;1;0;1;1;2;1;TA;5;Typ;1;Attchd;1960,0;RFn;1;352;TA;TA;Y;0;213;176;0;0;0;0;5;2008;WD;Normal;157000;389;514,2992817238627;389,0039904229848
16;45;RM;51,0;6120;Pave;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;Norm;Norm;1Fam;1.5Unf;7;8;1929;2001;Gable;CompShg;Wd Sdng;Wd Sdng;None;0,0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;832;832;GasA;Ex;Y;FuseA;854;0;0;854;0;0;1;0;2;1;TA;5;Typ;0;Detchd;1991,0;Unf;2;576;TA;TA;Y;48;112;0;0;0;0;0;7;2007;WD;Normal;132000;160;314,56674473067915;160,00585480093676
17;20;RL;;11241;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;Norm;Norm;1Fam;1Story;6;7;1970;1970;Gable;CompShg;Wd Sdng;Wd Sdng;BrkFace;180,0;TA;TA;CBlock;TA;TA;No;ALQ;578;Unf;0;426;1004;GasA;Ex;Y;SBrkr;1004;0;0;1004;1;0;1;0;2;1;TA;5;Typ;1;Attchd;1970,0;Fin;2;480;TA;TA;Y;0;0;0;0;0;0;700;3;2010;WD;Normal;149000;0;148,40637450199202;0,0049800796812749
18;90;RL;72,0;10791;Pave;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;Duplex;1Story;4;5;1967;1967;Gable;CompShg;MetalSd;MetalSd;None;0,0;TA;TA;Slab;;;;;0;;0;0;0;GasA;TA;Y;SBrkr;1296;0;0;1296;0;0;2;0;2;2;TA;6;Typ;0;CarPort;1967,0;Unf;2;516;TA;TA;Y;0;0;0;0;0;0;500;10;2006;WD;Normal;90000;0;69,44444444444444;0,004629629629629629
19;20;RL;66,0;13695;Pave;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;RRAe;Norm;1Fam;1Story;5;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;None;0,0;TA;TA;PConc;TA;TA;No;GLQ;646;Unf;0;468;1114;GasA;Ex;Y;SBrkr;1114;0;0;1114;1;0;1;1;3;1;Gd;6;Typ;0;Detchd;2004,0;Unf;2;576;TA;TA;Y;0;102;0;0;0;0;0;6;2008;WD;Normal;159000;102;244,72890484739676;102,00538599640933
20;20;RL;70,0;7560;Pave;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1958;1965;Hip;CompShg;BrkFace;Plywood;None;0,0;TA;TA;CBlock;TA;TA;No;LwQ;504;Unf;0;525;1029;GasA;TA;Y;SBrkr;1339;0;0;1339;0;0;1;0;3;1;TA;6;Min1;0;Attchd;1958,0;Unf;1;294;TA;TA;Y;0;0;0;0;0;0;0;5;2009;COD;Abnorml;139000;0;103,80881254667662;0,004480955937266617
21;60;RL;101,0;14215;Pave;IR1;Lvl;AllPub;Corner;Gtl;NridgHt;Norm;Norm;1Fam;2Story;8;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;BrkFace;380,0;Gd;TA;PConc;Ex;TA;Av;Unf;0;Unf;0;1158;1158;GasA;Ex;Y;SBrkr;1158;1218;0;2376;0;0;3;1;4;1;Gd;9;Typ;1;BuiltIn;2005,0;RFn;3;853;TA;TA;Y;240;154;0;0;0;0;0;11;2006;New;Partial;325300;394;530,9107744107744;394,0037878787879
22;45;RM;57,0;7449;Pave;Reg;Bnk;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1.5Unf;7;7;1930;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0,0;TA;TA;PConc;TA;TA;No;Unf;0;Unf;0;637;637;GasA;Ex;Y;FuseF;1108;0;0;1108;0;0;1;0;3;1;Gd;6;Typ;1;Attchd;1930,0;Unf;1;280;TA;TA;N;0;0;205;0;0;0;0;6;2007;WD;Normal;139400;205;330,81227436823104;205,00541516245488
23;20;RL;75,0;9742;Pave;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;8;5;2002;2002;Hip;CompShg;VinylSd;VinylSd;BrkFace;281,0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1777;1777;GasA;Ex;Y;SBrkr;1795;0;0;1795;0;0;2;0;3;1;Gd;7;Typ;1;Attchd;2002,0;RFn;2;534;TA;TA;Y;171;159;0;0;0;0;0;9;2008;WD;Normal;230000;330;458,13370473537606;330,0038997214485
24;120;RM;44,0;4224;Pave;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;Norm;Norm;TwnhsE;1Story;5;7;1976;1976;Gable;CompShg;CemntBd;CmentBd;None;0,0;TA;TA;PConc;Gd;TA;No;GLQ;840;Unf;0;200;1040;GasA;TA;Y;SBrkr;1060;0;0;1060;1;0;1;0;3;1;TA;6;Typ;1;Attchd;1976,0;Unf;2;572;TA;TA;Y;100;110;0;0;0;0;0;6;2007;WD;Normal;129900;210;332,54716981132077;210,00566037735848
25;20;RL;;8246;Pave;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;8;1968;2001;Gable;CompShg;Plywood;Plywood;None;0,0;TA;Gd;CBlock;TA;TA;Mn;Rec;188;ALQ;668;204;1060;GasA;Ex;Y;SBrkr;1060;0;0;1060;1;0;1;0;3;1;Gd;6;Typ;1;Attchd;1968,0;Unf;1;270;TA;TA;Y;406;90;0;0;0;0;0;5;2010;WD;Normal;154000;496;641,2830188679245;496,0056603773585
26;20;RL;110,0;14230;Pave;Reg;Lvl;AllPub;Corner;Gtl;NridgHt;Norm;Norm;1Fam;1Story;8;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;Stone;640,0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1566;1566;GasA;Ex;Y;SBrkr;1600;0;0;1600;0;0;2;0;3;1;Gd;7;Typ;1;Attchd;2007,0;RFn;3;890;TA;TA;Y;0;56;0;0;0;0;0;7;2009;WD;Normal;256300;56;216,1875;56,004375
27;20;RL;60,0;7200;Pave;Reg;Lvl;AllPub;Corner;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1951;2000;Gable;CompShg;Wd Sdng;Wd Sdng;None;0,0;TA;TA;CBlock;TA;TA;Mn;BLQ;234;Rec;486;180;900;GasA;TA;Y;SBrkr;900;0;0;900;0;1;1;0;3;1;Gd;5;Typ;0;Detchd;2005,0;Unf;2;576;TA;TA;Y;222;32;0;0;0;0;0;5;2010;WD;Normal;134800;254;403,77777777777777;254,00555555555556
28;20;RL;98,0;11478;Pave;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;1Story;8;5;2007;2008;Gable;CompShg;VinylSd;VinylSd;Stone;200,0;Gd;TA;PConc;Ex;TA;No;GLQ;1218;Unf;0;486;1704;GasA;Ex;Y;SBrkr;1704;0;0;1704;1;0;2;0;3;1;Gd;7;Typ;1;Attchd;2008,0;RFn;3;772;TA;TA;Y;0;50;0;0;0;0;0;5;2010;WD;Normal;306000;50;229,57746478873239;50,004107981220656
29;20;RL;47,0;16321;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1957;1997;Gable;CompShg;MetalSd;MetalSd;None;0,0;TA;TA;CBlock;TA;TA;Gd;BLQ;1277;Unf;0;207;1484;GasA;TA;Y;SBrkr;1600;0;0;1600;1;0;1;0;2;1;TA;6;Typ;2;Attchd;1957,0;RFn;1;319;TA;TA;Y;288;258;0;0;0;0;0;12;2006;WD;Normal;207500;546;675,6875;546,00375
30;30;RM;60,0;6324;Pave;IR1;Lvl;AllPub;Inside;Gtl;BrkSide;Feedr;RRNn;1Fam;1Story;4;6;1927;1950;Gable;CompShg;MetalSd;MetalSd;None;0,0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;520;520;GasA;Fa;N;SBrkr;520;0;0;520;0;0;1;0;1;1;Fa;4;Typ;0;Detchd;1920,0;Unf;1;240;Fa;TA;Y;49;0;87;0;0;0;0;5;2008;WD;Normal;68500;136;267,7307692307692;136,0076923076923
31;70;C (all);50,0;8500;Pave;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Feedr;Norm;1Fam;2Story;4;4;1920;1950;Gambrel;CompShg;BrkFace;BrkFace;None;0,0;TA;Fa;BrkTil;TA;TA;No;Unf;0;Unf;0;649;649;GasA;TA;N;SBrkr;649;668;0;1317;0;0;1;0;3;1;TA;6;Typ;0;Detchd;1920,0;Unf;1;250;TA;Fa;N;0;54;172;0;0;0;0;7;2008;WD;Normal;40000;226;256,37205770690963;226,00455580865605
32;20;RL;;8544;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;6;1966;2006;Gable;CompShg;HdBoard;HdBoard;None;0,0;TA;TA;CBlock;TA;TA;No;Unf;0;Unf;0;1228;1228;GasA;Gd;Y;SBrkr;1228;0;0;1228;0;0;1;1;3;1;Gd;6;Typ;0;Attchd;1966,0;Unf;1;271;TA;TA;Y;0;65;0;0;0;0;0;6;2008;WD;Normal;149350;65;186,62052117263843;65,00488599348535
33;20;RL;85,0;11049;Pave;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;Norm;Norm;1Fam;1Story;8;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;None;0,0;Gd;TA;PConc;Ex;TA;Av;Unf;0;Unf;0;1234;1234;GasA;Ex;Y;SBrkr;1234;0;0;1234;0;0;2;0;3;1;Gd;7;Typ;0;Attchd;2007,0;RFn;2;484;TA;TA;Y;0;30;0;0;0;0;0;1;2008;WD;Normal;179900;30;175,78606158833063;30,005672609400325
34;20;RL;70,0;10552;Pave;IR1;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;5;1959;1959;Hip;CompShg;BrkFace;BrkFace;None;0,0;TA;TA;CBlock;TA;TA;No;Rec;1018;Unf;0;380;1398;GasA;Gd;Y;SBrkr;1700;0;0;1700;0;1;1;1;4;1;Gd;6;Typ;1;Attchd;1959,0;RFn;2;447;TA;TA;Y;0;38;0;0;0;0;0;4;2010;WD;Normal;165500;38;135,3529411764706;38,0035294117647
35;120;RL;60,0;7313;Pave;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;TwnhsE;1Story;9;5;2005;2005;Hip;CompShg;MetalSd;MetalSd;BrkFace;246,0;Ex;TA;PConc;Ex;TA;No;GLQ;1153;Unf;0;408;1561;GasA;Ex;Y;SBrkr;1561;0;0;1561;1;0;2;0;2;1;Ex;6;Typ;1;Attchd;2005,0;Fin;2;556;TA;TA;Y;203;47;0;0;0;0;0;8;2007;WD;Normal;277500;250;427,7706598334401;250,00384368994236
36;60;RL;108,0;13418;Pave;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;1Fam;2Story;8;5;2004;2005;Gable;CompShg;VinylSd;VinylSd;Stone;132,0;Gd;TA;PConc;Ex;TA;Av;Unf;0;Unf;0;1117;1117;GasA;Ex;Y;SBrkr;1132;1320;0;2452;0;0;3;1;4;1;Gd;9;Typ;1;BuiltIn;2004,0;Fin;3;691;TA;TA;Y;113;32;0;0;0;0;0;9;2006;WD;Normal;309000;145;271,01957585644374;145,0036704730832
37;20;RL;112,0;10859;Pave;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;Norm;Norm;1Fam;1Story;5;5;1994;1995;Gable;CompShg;VinylSd;VinylSd;None;0,0;TA;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1097;1097;GasA;Ex;Y;SBrkr;1097;0;0;1097;0;0;1;1;3;1;TA;6;Typ;0;Attchd;1995,0;Unf;2;672;TA;TA;Y;392;64;0;0;0;0;0;6;2009;WD;Normal;145000;456;588,1786690975388;456,0054694621696
38;20;RL;74,0;8532;Pave;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1954;1990;Hip;CompShg;Wd Sdng;Wd Sdng;BrkFace;650,0;TA;TA;CBlock;TA;TA;No;Rec;1213;Unf;0;84;1297;GasA;Gd;Y;SBrkr;1297;0;0;1297;0;1;1;0;3;1;TA;5;Typ;1;Attchd;1954,0;Fin;2;498;TA;TA;Y;0;0;0;0;0;0;0;10;2009;WD;Normal;153000;0;117,96453353893601;0,0038550501156515036
39;20;RL;68,0;7922;Pave;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1953;2007;Gable;CompShg;VinylSd;VinylSd;None;0,0;TA;Gd;CBlock;TA;TA;No;GLQ;731;Unf;0;326;1057;GasA;TA;Y;SBrkr;1057;0;0;1057;1;0;1;0;3;1;Gd;5;Typ;0;Detchd;1953,0;Unf;1;246;TA;TA;Y;0;52;0;0;0;0;0;1;2010;WD;Abnorml;109000;52;155,1220435193945;52,00473036896878
40;90;RL;65,0;6040;Pave;Reg;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Norm;Duplex;1Story;4;5;1955;1955;Gable;CompShg;AsbShng;Plywood;None;0,0;TA;TA;PConc;;;;;0;;0;0;0;GasA;TA;N;FuseP;1152;0;0;1152;0;0;2;0;2;2;Fa;6;Typ;0;;;;0;0;;;N;0;0;0;0;0;0;0;6;2008;WD;AdjLand;82000;0;71,18055555555556;0,005208333333333333
41;20;RL;84,0;8658;Pave;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;6;5;1965;1965;Gable;CompShg;Wd Sdng;Wd Sdng;BrkFace;101,0;TA;TA;CBlock;TA;TA;No;Rec;643;Unf;0;445;1088;GasA;Ex;Y;SBrkr;1324;0;0;1324;0;0;2;0;3;1;TA;6;Typ;1;Attchd;1965,0;RFn;2;440;TA;TA;Y;0;138;0;0;0;0;0;12;2006;WD;Abnorml;160000;138;258,8459214501511;138,00453172205437
42;20;RL;115,0;16905;Pave;Reg;Lvl;AllPub;Inside;Gtl;Timber;Norm;Norm;1Fam;1Story;5;6;1959;1959;Gable;CompShg;VinylSd;VinylSd;None;0,0;TA;Gd;CBlock;TA;TA;Gd;BLQ;967;Unf;0;383;1350;GasA;Gd;Y;SBrkr;1328;0;0;1328;0;1;1;1;2;1;TA;5;Typ;2;Attchd;1959,0;RFn;1;308;TA;TA;P;0;104;0;0;0;0;0;7;2007;WD;Normal;170000;104;232,0120481927711;104,00376506024097
43;85;RL;;9180;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;SawyerW;Norm;Norm;1Fam;SFoyer;5;7;1983;1983;Gable;CompShg;HdBoard;HdBoard;None;0,0;TA;TA;CBlock;Gd;TA;Av;ALQ;747;LwQ;93;0;840;GasA;Gd;Y;SBrkr;884;0;0;884;1;0;1;0;2;1;Gd;5;Typ;0;Attchd;1983,0;RFn;2;504;TA;Gd;Y;240;0;0;0;0;0;0;12;2007;WD;Normal;144000;240;402,89592760180994;240,0056561085973
44;20;RL;;9200;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;Norm;Norm;1Fam;1Story;5;6;1975;1980;Hip;CompShg;VinylSd;VinylSd;None;0,0;TA;TA;CBlock;Gd;TA;Av;LwQ;280;BLQ;491;167;938;GasA;TA;Y;SBrkr;938;0;0;938;1;0;1;0;3;1;TA;5;Typ;0;Detchd;1977,0;Unf;1;308;TA;TA;Y;145;0;0;0;0;0;0;7;2008;WD;Normal;130250;145;283,85927505330494;145,00533049040513
45;20;RL;70,0;7945;Pave;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;6;1959;1959;Gable;CompShg;BrkFace;Wd Sdng;None;0,0;TA;TA;CBlock;TA;TA;No;ALQ;179;BLQ;506;465;1150;GasA;Ex;Y;FuseA;1150;0;0;1150;1;0;1;0;3;1;TA;6;Typ;0;Attchd;1959,0;RFn;1;300;TA;TA;Y;0;0;0;0;0;0;0;5;2006;WD;Normal;141000;0;122,6086956521739;0,0052173913043478265
46;120;RL;61,0;7658;Pave;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;Norm;Norm;TwnhsE;1Story;9;5;2005;2005;Hip;CompShg;MetalSd;MetalSd;BrkFace;412,0;Ex;TA;PConc;Ex;TA;No;GLQ;456;Unf;0;1296;1752;GasA;Ex;Y;SBrkr;1752;0;0;1752;1;0;2;0;2;1;Ex;6;Typ;1;Attchd;2005,0;RFn;2;576;TA;TA;Y;196;82;0;0;0;0;0;2;2010;WD;Normal;319900;278;460,5913242009133;278,00342465753425
47;50;RL;48,0;12822;Pave;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;Norm;Norm;1Fam;1.5Fin;7;5;2003;2003;Gable;CompShg;VinylSd;VinylSd;None;0,0;Gd;TA;PConc;Ex;TA;No;GLQ;1351;Unf;0;83;1434;GasA;Ex;Y;SBrkr;1518;631;0;2149;1;0;1;1;1;1;Gd;6;Typ;1;Attchd;2003,0;RFn;2;670;TA;TA;Y;168;43;0;0;198;0;0;8;2009;WD;Abnorml;239686;211;322,5337366216845;211,00279199627735
48;20;FV;84,0;11096;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;1Fam;1Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;None;0,0;Gd;TA;PConc;Gd;TA;Av;GLQ;24;Unf;0;1632;1656;GasA;Ex;Y;SBrkr;1656;0;0;1656;0;0;2;0;3;1;Gd;7;Typ;0;Attchd;2006,0;RFn;3;826;TA;TA;Y;0;146;0;0;0;0;0;7;2007;WD;Normal;249700;146;296,78502415458934;146,00422705314008
